PROJECT;DISCIPLINE;NAME OF TEMPLATE;CRITERIA;COLOUR;LINE;TubeFlag;INSULATION;ADDE;SCALE;DIRECTION;RPLB;RRUL;STYF
SOL;PIPING;/TMPL-TPI/PIPING/TYPE_01; ALL EQUIPMENT WITH ( ATTRIB PURP OF SITE  EQ 'EQ' );Grey;Solid;TRUE;FALSE;/EQ-EQUI-ALL;2/100;D;/TPI-RRST/PIPING/TYPE_01;/EQ-EQUI-ALL/PIPING/TYPE_01;/Grey-SolThin-TubflagPsy
SOL;PIPING;/TMPL-TPI/PIPING/TYPE_01; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'CSI' );Grey;Solid;TRUE;FALSE;/CSI-ZONE-ALL;2/100;D;/TPI-RRST/PIPING/TYPE_01;/CSI-ZONE-ALL/PIPING/TYPE_01;/Grey-SolThin-TubflagPsy
SOL;PIPING;/TMPL-TPI/PIPING/TYPE_01; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'CS' AND MAT ( ATTRIB NAME , 'Concrete' ) GT 0 );Grey;Solid;TRUE;FALSE;/CS-ZONE-Concrete;2/100;D;/TPI-RRST/PIPING/TYPE_01;/CS-ZONE-Concrete/PIPING/TYPE_01;/Grey-SolThin-TubflagPsy
SOL;PIPING;/TMPL-TPI/PIPING/TYPE_01; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'CS' AND MAT ( ATTRIB NAME , 'FACADE' ) GT 0 );Grey;Solid;TRUE;FALSE;/CS-ZONE-Facade;2/100;D;/TPI-RRST/PIPING/TYPE_01;/CS-ZONE-Facade/PIPING/TYPE_01;/Grey-SolThin-TubflagPsy
SOL;PIPING;/TMPL-TPI/PIPING/TYPE_01; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'CS' AND MAT ( ATTRIB NAME , 'SteelStructure' ) GT 0 );Grey;Solid;TRUE;FALSE;/CS-ZONE-SteelStruc;2/100;D;/TPI-RRST/PIPING/TYPE_01;/CS-ZONE-SteelStruc/PIPING/TYPE_01;/Grey-SolThin-TubflagPsy
SOL;PIPING;/TMPL-TPI/PIPING/TYPE_01; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'CS' AND MAT ( ATTRIB NAME , 'Wall' ) GT 0 );Grey;Solid;TRUE;FALSE;/CS-ZONE-Wall;2/100;D;/TPI-RRST/PIPING/TYPE_01;/CS-ZONE-Wall/PIPING/TYPE_01;/Grey-SolThin-TubflagPsy
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_01; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'IN' AND MAT ( ATTRIB NAME OF ZONE  , 'INS' ) GT 0 );Yellow;Solid;FALSE;FALSE;/IN-ZONE-WNameINS;2/100;D;/TPI-RRST/INSTRU/TYPE_01;/IN-ZONE-WNameINS/INSTRU/TYPE_01;/Yellow-SolThin-Nothing
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_02; ALL BRANCH WITH ( ATTRIB PURP OF SITE  EQ 'IN' );Red;Solid;TRUE;FALSE;/IN-BRAN-ALL;2/100;D;/TPI-RRST/INSTRU/TYPE_02;/IN-BRAN-ALL/INSTRU/TYPE_02;/Red-SolThin-Nothing
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_03; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'IN' AND MAT ( ATTRIB NAME OF ZONE  , 'INS' ) GT 0 );Yellow;Solid;FALSE;FALSE;/IN-ZONE-WNameINS;2/100;D;/TPI-RRST/INSTRU/TYPE_03;/IN-ZONE-WNameINS/INSTRU/TYPE_03;/Yellow-SolThin-Nothing
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_03; ALL EQUIPMENT WITH ( ATTRIB PURP OF SITE  EQ 'EQ' );Green;Solid;FALSE;FALSE;/EQ-EQUI-ALL;2/100;D;/TPI-RRST/INSTRU/TYPE_03;/EQ-EQUI-ALL/INSTRU/TYPE_03;/Gree-SolThin-Nothing
